"id.age.sex.region.income.married.children.car.save_act.current_act.mortgage.pep"	"num"
"ID12140,66,FEMALE,SUBURBAN,25391.5,NO,2,NO,NO,YES,NO,NO"	40
"ID12141,55,MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES,YES"	41
"ID12142,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO,YES,NO,NO"	42
"ID12143,67,MALE,TOWN,55716.5,NO,2,YES,YES,NO,NO,YES"	43
"ID12144,32,FEMALE,TOWN,27571.5,YES,0,YES,NO,YES,YES,NO"	44
"ID12145,20,MALE,INNER_CITY,13740,NO,2,YES,YES,YES,YES,NO"	45
"ID12146,64,MALE,INNER_CITY,52670.6,YES,2,NO,YES,YES,YES,YES"	46
"ID12147,50,FEMALE,INNER_CITY,13283.9,NO,1,YES,YES,YES,NO,YES"	47
"ID12148,29,MALE,INNER_CITY,13106.6,NO,2,NO,YES,YES,YES,YES"	48
"ID12149,52,MALE,INNER_CITY,39547.8,NO,2,YES,NO,YES,NO,YES"	49
"ID12150,47,FEMALE,RURAL,17867.3,YES,2,YES,YES,NO,NO,NO"	50
"ID12151,24,MALE,TOWN,14309.7,NO,2,YES,YES,NO,NO,NO"	51
"ID12152,36,MALE,TOWN,23894.8,YES,0,NO,NO,NO,NO,NO"	52
"ID12153,43,MALE,TOWN,16259.7,YES,1,NO,YES,YES,NO,YES"	53
"ID12154,48,MALE,SUBURBAN,29794.1,NO,1,NO,YES,YES,NO,YES"	54
"ID12155,63,MALE,TOWN,56842.5,YES,0,NO,YES,YES,YES,NO"	55
"ID12156,52,FEMALE,RURAL,47835.8,NO,3,NO,YES,NO,NO,YES"	56
"ID12157,58,FEMALE,INNER_CITY,24977.5,NO,0,NO,NO,YES,NO,YES"	57
"ID12158,28,MALE,INNER_CITY,23124.9,YES,0,NO,YES,YES,NO,YES"	58
"ID12159,29,FEMALE,INNER_CITY,15143.8,YES,0,NO,NO,YES,NO,NO"	59
"ID12160,34,MALE,INNER_CITY,25334.3,NO,1,YES,YES,YES,YES,YES"	60
"ID12161,42,FEMALE,INNER_CITY,24763.3,YES,1,NO,YES,YES,YES,YES"	61
"ID12162,65,FEMALE,INNER_CITY,36589,NO,1,YES,NO,YES,NO,YES"	62
"ID12163,47,MALE,INNER_CITY,27022.6,YES,2,NO,YES,YES,NO,NO"	63
"ID12164,20,MALE,INNER_CITY,11700.4,YES,0,NO,YES,NO,NO,NO"	64
"ID12165,21,MALE,TOWN,5014.21,NO,0,YES,YES,YES,YES,NO"	65
"ID12166,42,MALE,INNER_CITY,17390.1,YES,0,NO,YES,YES,NO,NO"	66
"ID12167,19,MALE,TOWN,10861,NO,2,NO,YES,YES,NO,NO"	67
"ID12168,41,FEMALE,TOWN,34892.9,NO,0,NO,YES,YES,YES,NO"	68
"ID12169,30,MALE,TOWN,19403.1,NO,2,NO,YES,YES,NO,NO"	69
"ID12170,31,FEMALE,RURAL,10441.9,YES,2,NO,NO,YES,NO,YES"	70
"ID12171,25,MALE,INNER_CITY,14064.9,YES,3,YES,YES,YES,NO,NO"	71
"ID12172,21,MALE,INNER_CITY,8062.73,NO,0,NO,NO,YES,NO,YES"	72
"ID12173,36,MALE,INNER_CITY,31982,YES,3,YES,YES,YES,YES,YES"	73
"ID12174,58,FEMALE,INNER_CITY,23197.5,YES,2,NO,YES,NO,YES,NO"	74
"ID12175,64,FEMALE,INNER_CITY,52674,NO,2,YES,YES,YES,NO,YES"	75
"ID12176,59,FEMALE,RURAL,35610.5,NO,2,YES,NO,NO,NO,YES"	76
"ID12177,45,FEMALE,TOWN,26948,NO,0,NO,YES,YES,YES,NO"	77
"ID12178,61,MALE,INNER_CITY,49456.7,YES,1,YES,YES,YES,YES,YES"	78
"ID12179,30,FEMALE,INNER_CITY,14724.5,YES,0,YES,NO,YES,NO,NO"	79
"ID12180,58,FEMALE,TOWN,34524.9,YES,2,YES,YES,NO,NO,YES"	80
"ID12181,50,FEMALE,TOWN,22052.1,NO,3,NO,YES,YES,NO,YES"	81
"ID12182,30,MALE,INNER_CITY,27808.1,NO,3,NO,NO,YES,NO,NO"	82
"ID12183,29,FEMALE,INNER_CITY,12591.4,YES,1,NO,YES,YES,NO,NO"	83
"ID12184,35,MALE,INNER_CITY,16394.4,YES,1,NO,YES,YES,NO,YES"	84
"ID12185,62,MALE,INNER_CITY,24026.1,YES,0,NO,NO,YES,YES,YES"	85
"ID12186,36,MALE,INNER_CITY,31683.1,YES,1,YES,YES,YES,NO,YES"	86
"ID12187,25,FEMALE,INNER_CITY,15525,YES,0,NO,YES,YES,NO,NO"	87
"ID12188,66,FEMALE,TOWN,22562.2,NO,0,YES,YES,YES,YES,NO"	88
"ID12189,30,MALE,SUBURBAN,15848.7,YES,0,YES,YES,NO,YES,NO"	89
"ID12190,54,FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,YES,NO,YES"	90
"ID12191,37,MALE,TOWN,24814.5,YES,1,YES,NO,YES,YES,YES"	91
"ID12192,28,FEMALE,INNER_CITY,25429.3,NO,2,NO,YES,YES,YES,NO"	92
"ID12193,53,FEMALE,RURAL,34866.5,NO,0,NO,NO,YES,NO,YES"	93
"ID12194,61,MALE,INNER_CITY,42579.1,YES,2,YES,YES,YES,NO,NO"	94
"ID12195,61,FEMALE,INNER_CITY,41127.4,YES,0,YES,YES,NO,NO,NO"	95
"ID12196,18,FEMALE,INNER_CITY,9990.11,YES,0,NO,YES,YES,NO,NO"	96
"ID12197,22,MALE,INNER_CITY,7948.62,YES,1,NO,NO,NO,YES,NO"	97
"ID12198,34,MALE,TOWN,30870.8,YES,2,YES,YES,YES,YES,YES"	98
"ID12199,35,FEMALE,INNER_CITY,12125.8,NO,2,NO,YES,YES,NO,NO"	99
"ID12200,18,FEMALE,RURAL,15348.9,YES,0,YES,NO,YES,NO,NO"	100
"ID12201,54,MALE,INNER_CITY,26707.9,YES,1,NO,YES,YES,YES,YES"	101
"ID12202,27,FEMALE,INNER_CITY,11604.4,YES,2,YES,YES,YES,NO,NO"	102
"ID12203,42,MALE,INNER_CITY,15499.9,YES,0,YES,NO,YES,YES,YES"	103
"ID12204,43,MALE,TOWN,33088.5,NO,0,NO,YES,YES,YES,NO"	104
"ID12205,64,FEMALE,INNER_CITY,34513.6,YES,1,NO,YES,YES,NO,YES"	105
"ID12206,43,MALE,TOWN,32395.5,YES,3,YES,YES,YES,NO,NO"	106
"ID12207,49,MALE,RURAL,46633,YES,0,YES,YES,NO,NO,NO"	107
"ID12208,23,MALE,INNER_CITY,13039.9,YES,0,NO,NO,YES,NO,NO"	108
"ID12209,23,MALE,INNER_CITY,12681.9,NO,0,NO,YES,YES,NO,YES"	109
"ID12210,30,FEMALE,INNER_CITY,24031.5,YES,2,YES,YES,YES,YES,NO"	110
"ID12211,36,MALE,TOWN,37330.5,NO,2,NO,YES,YES,NO,YES"	111
"ID12212,34,MALE,INNER_CITY,25333.2,YES,3,YES,NO,NO,YES,NO"	112
"ID12213,51,FEMALE,INNER_CITY,37094.2,YES,0,YES,NO,YES,NO,NO"	113
"ID12214,36,MALE,TOWN,33630.6,NO,2,YES,YES,YES,NO,YES"	114
"ID12215,56,MALE,INNER_CITY,43228.2,YES,1,YES,YES,YES,NO,YES"	115
"ID12216,54,FEMALE,INNER_CITY,47796.8,YES,0,NO,YES,YES,NO,NO"	116
"ID12217,56,FEMALE,TOWN,21730.3,YES,2,NO,YES,NO,NO,NO"	117
"ID12218,26,MALE,INNER_CITY,10044.1,YES,3,NO,YES,YES,YES,NO"	118
"ID12219,39,MALE,TOWN,17270.1,NO,0,YES,NO,NO,NO,YES"	119
"ID12220,64,FEMALE,RURAL,45765,YES,3,YES,YES,YES,NO,YES"	120
"ID12221,46,MALE,RURAL,29525.5,NO,2,NO,YES,NO,YES,NO"	121
"ID12222,62,FEMALE,RURAL,54863.8,YES,1,YES,YES,YES,NO,YES"	122
"ID12223,36,FEMALE,TOWN,20799,YES,1,NO,YES,NO,YES,YES"	123
"ID12224,35,FEMALE,RURAL,33028.3,NO,1,NO,YES,YES,NO,YES"	124
"ID12225,47,MALE,RURAL,45031.9,NO,3,YES,YES,NO,NO,YES"	125
"ID12226,47,MALE,INNER_CITY,39010.8,YES,2,NO,NO,YES,NO,YES"	126
"ID12227,37,FEMALE,TOWN,25257.7,YES,0,YES,YES,YES,NO,NO"	127
"ID12228,48,FEMALE,INNER_CITY,42603.9,YES,0,NO,YES,YES,NO,NO"	128
"ID12229,41,MALE,TOWN,14092.7,YES,3,YES,YES,YES,NO,NO"	129
"ID12230,27,FEMALE,RURAL,21350.3,NO,0,YES,YES,YES,NO,YES"	130
"ID12231,43,MALE,INNER_CITY,23246.4,NO,2,NO,NO,YES,NO,NO"	131
"ID12232,61,MALE,RURAL,41609.5,YES,3,NO,YES,YES,YES,NO"	132
"ID12233,52,FEMALE,SUBURBAN,16716.1,NO,2,YES,YES,YES,NO,NO"	133
"ID12234,64,FEMALE,SUBURBAN,36436.4,YES,0,YES,NO,YES,NO,NO"	134
"ID12235,66,FEMALE,TOWN,59503.8,YES,2,YES,YES,YES,YES,YES"	135
"ID12236,53,FEMALE,TOWN,31334.8,YES,1,YES,YES,YES,NO,YES"	136
"ID12237,20,FEMALE,INNER_CITY,14048.9,YES,2,YES,NO,YES,YES,NO"	137
"ID12238,57,FEMALE,INNER_CITY,39205.3,NO,0,NO,YES,YES,NO,YES"	138
"ID12239,65,FEMALE,RURAL,42173.9,YES,0,NO,YES,YES,NO,NO"	139
"ID12240,64,FEMALE,INNER_CITY,55263,NO,1,NO,YES,YES,NO,YES"	140
"ID12241,52,MALE,INNER_CITY,37095.2,YES,3,NO,YES,YES,NO,NO"	141
"ID12242,47,FEMALE,INNER_CITY,22791.4,YES,0,NO,NO,YES,NO,NO"	142
"ID12243,28,FEMALE,TOWN,17240.6,YES,1,YES,NO,NO,YES,NO"	143
"ID12244,64,MALE,TOWN,48974.8,YES,0,YES,YES,YES,YES,NO"	144
"ID12245,25,MALE,INNER_CITY,18923,YES,1,NO,YES,YES,NO,YES"	145
"ID12246,58,MALE,SUBURBAN,51204.2,YES,0,NO,YES,NO,YES,YES"	146
"ID12247,34,MALE,TOWN,20236.2,YES,2,YES,NO,YES,NO,NO"	147
"ID12248,20,FEMALE,INNER_CITY,18860.3,NO,2,NO,YES,YES,NO,NO"	148
"ID12249,63,MALE,RURAL,25732.5,YES,0,YES,YES,NO,NO,NO"	149
"ID12250,30,FEMALE,SUBURBAN,28240.4,YES,3,YES,YES,YES,NO,NO"	150
"ID12251,53,MALE,RURAL,28193.6,YES,1,YES,YES,YES,NO,YES"	151
"ID12252,43,MALE,TOWN,36432.8,NO,2,YES,NO,YES,NO,YES"	152
"ID12253,63,MALE,TOWN,54618.8,YES,2,NO,YES,NO,YES,YES"	153
"ID12254,33,MALE,INNER_CITY,24760.8,YES,1,NO,YES,YES,YES,YES"	154
"ID12255,41,MALE,RURAL,23356.1,NO,2,YES,NO,NO,NO,NO"	155
"ID12256,20,FEMALE,SUBURBAN,8143.75,YES,2,NO,YES,YES,NO,YES"	156
"ID12257,50,MALE,TOWN,26462.5,YES,0,YES,YES,YES,NO,NO"	157
"ID12258,24,MALE,RURAL,20467.3,YES,2,YES,YES,YES,NO,NO"	158
"ID12259,60,FEMALE,TOWN,21506.2,YES,0,NO,NO,YES,NO,YES"	159
"ID12260,44,FEMALE,TOWN,15315.3,YES,1,NO,YES,YES,NO,YES"	160
"ID12261,23,MALE,INNER_CITY,18875.7,YES,2,YES,YES,YES,NO,NO"	161
"ID12262,40,FEMALE,INNER_CITY,12977.2,YES,0,NO,NO,NO,NO,NO"	162
"ID12263,49,FEMALE,TOWN,20708.5,NO,3,NO,NO,YES,NO,NO"	163
"ID12264,21,FEMALE,TOWN,7549.38,NO,1,YES,NO,YES,NO,NO"	164
"ID12265,40,FEMALE,INNER_CITY,24904,YES,0,NO,NO,NO,NO,NO"	165
"ID12266,26,MALE,RURAL,24071.8,YES,1,NO,NO,YES,YES,YES"	166
"ID12267,20,MALE,TOWN,9589.91,NO,1,NO,YES,YES,YES,NO"	167
"ID12268,24,MALE,INNER_CITY,8562.86,NO,1,NO,NO,NO,YES,NO"	168
"ID12269,37,FEMALE,TOWN,26707.5,NO,0,YES,YES,YES,NO,NO"	169
"ID12270,56,MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO,NO"	170
"ID12271,52,MALE,INNER_CITY,49175.7,YES,0,YES,YES,YES,NO,NO"	171
"ID12272,22,MALE,INNER_CITY,19726.3,YES,2,NO,NO,YES,NO,NO"	172
"ID12273,35,MALE,INNER_CITY,24346.6,YES,3,YES,YES,YES,NO,NO"	173
"ID12274,34,MALE,RURAL,26999.4,YES,1,YES,YES,YES,NO,YES"	174
"ID12275,67,FEMALE,TOWN,41558.1,YES,2,NO,YES,YES,NO,YES"	175
"ID12276,58,FEMALE,INNER_CITY,56340.3,NO,0,NO,YES,YES,NO,YES"	176
"ID12277,40,MALE,TOWN,37558.5,YES,0,YES,YES,YES,NO,NO"	177
"ID12278,41,FEMALE,INNER_CITY,30099.3,YES,0,YES,YES,YES,YES,YES"	178
"ID12279,43,MALE,INNER_CITY,15254.8,YES,0,NO,NO,NO,NO,YES"	179
"ID12280,63,MALE,INNER_CITY,36086.1,YES,2,NO,NO,YES,NO,YES"	180
"ID12281,22,FEMALE,INNER_CITY,17655,YES,1,NO,YES,YES,YES,YES"	181
"ID12282,60,MALE,RURAL,56658.9,NO,0,NO,YES,YES,NO,YES"	182
"ID12283,65,FEMALE,INNER_CITY,37706.5,NO,0,YES,YES,YES,YES,NO"	183
"ID12284,48,FEMALE,INNER_CITY,18516,YES,2,YES,YES,YES,YES,NO"	184
"ID12285,38,FEMALE,INNER_CITY,29622,NO,0,YES,YES,NO,YES,NO"	185
"ID12286,49,MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES,YES"	186
"ID12287,20,FEMALE,INNER_CITY,18275.5,YES,0,NO,NO,NO,YES,YES"	187
"ID12288,48,FEMALE,TOWN,34410,YES,1,NO,NO,YES,NO,YES"	188
"ID12289,38,MALE,INNER_CITY,34866.9,YES,2,YES,NO,YES,YES,NO"	189
"ID12290,41,FEMALE,INNER_CITY,21796.6,YES,0,NO,NO,YES,NO,NO"	190
"ID12291,67,FEMALE,SUBURBAN,63130.1,YES,2,YES,YES,YES,NO,YES"	191
"ID12292,39,MALE,INNER_CITY,14996.4,YES,1,YES,YES,NO,NO,NO"	192
"ID12293,64,FEMALE,RURAL,49024.9,YES,3,NO,YES,YES,NO,YES"	193
"ID12294,41,MALE,INNER_CITY,16249.8,YES,0,YES,NO,YES,YES,YES"	194
"ID12295,55,MALE,SUBURBAN,36192.1,YES,2,YES,NO,YES,NO,YES"	195
"ID12296,52,MALE,INNER_CITY,17839.9,YES,1,NO,YES,NO,YES,YES"	196
"ID12297,30,FEMALE,INNER_CITY,18802.4,NO,0,NO,NO,YES,YES,YES"	197
"ID12298,52,MALE,INNER_CITY,48720.3,YES,2,YES,YES,YES,NO,YES"	198
"ID12299,26,MALE,INNER_CITY,14585.9,NO,2,NO,NO,YES,YES,NO"	199
"ID12300,26,FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,NO,YES"	200
"ID12301,46,MALE,TOWN,26077.8,YES,1,YES,YES,YES,NO,YES"	201
"ID12302,46,FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,YES,NO"	202
"ID12303,52,MALE,INNER_CITY,16977.3,YES,0,NO,NO,YES,NO,NO"	203
"ID12304,37,MALE,INNER_CITY,19012.8,NO,3,YES,NO,YES,NO,NO"	204
"ID12305,22,MALE,INNER_CITY,12764.8,YES,1,NO,YES,YES,YES,YES"	205
"ID12306,18,MALE,INNER_CITY,14388.6,NO,0,YES,NO,YES,YES,YES"	206
"ID12307,63,MALE,INNER_CITY,59409.1,NO,0,YES,YES,YES,NO,YES"	207
"ID12308,25,FEMALE,INNER_CITY,14960.2,YES,0,NO,YES,YES,YES,NO"	208
"ID12309,67,MALE,INNER_CITY,39666.6,YES,0,YES,YES,YES,NO,NO"	209
"ID12310,27,MALE,INNER_CITY,20771.9,NO,0,NO,YES,NO,NO,YES"	210
"ID12311,61,MALE,INNER_CITY,24474.1,NO,0,YES,NO,NO,NO,YES"	211
"ID12312,58,MALE,TOWN,33123.7,YES,1,YES,YES,YES,NO,YES"	212
"ID12313,22,MALE,INNER_CITY,14433.4,YES,0,YES,YES,YES,NO,YES"	213
"ID12314,28,MALE,TOWN,13175.5,NO,1,NO,NO,YES,NO,YES"	214
"ID12315,23,MALE,INNER_CITY,9824.37,YES,0,NO,YES,YES,NO,NO"	215
"ID12316,27,MALE,SUBURBAN,17610.3,YES,0,NO,YES,YES,NO,NO"	216
"ID12317,27,FEMALE,SUBURBAN,15156.2,YES,0,YES,NO,YES,NO,NO"	217
"ID12318,40,FEMALE,INNER_CITY,31774.1,YES,3,YES,YES,YES,YES,NO"	218
"ID12319,39,MALE,TOWN,31693.5,NO,0,YES,YES,NO,NO,YES"	219
"ID12320,35,FEMALE,INNER_CITY,28598.7,YES,0,YES,YES,YES,NO,NO"	220
"ID12321,37,FEMALE,INNER_CITY,26261.7,NO,2,YES,NO,NO,NO,NO"	221
"ID12322,47,MALE,INNER_CITY,42124.1,YES,2,NO,YES,YES,NO,YES"	222
"ID12323,42,FEMALE,INNER_CITY,39308.7,YES,1,NO,YES,YES,NO,YES"	223
"ID12324,67,FEMALE,INNER_CITY,43530,YES,0,NO,YES,YES,YES,NO"	224
"ID12325,57,MALE,RURAL,49874.4,YES,3,NO,YES,YES,NO,YES"	225
"ID12326,47,FEMALE,RURAL,27434.8,NO,0,YES,YES,YES,NO,YES"	226
"ID12327,67,MALE,INNER_CITY,50474.6,YES,2,YES,YES,YES,NO,YES"	227
"ID12328,56,MALE,TOWN,24888.2,NO,0,NO,YES,YES,NO,YES"	228
"ID12329,37,MALE,RURAL,28021.6,NO,0,YES,NO,YES,YES,YES"	229
"ID12330,27,MALE,INNER_CITY,12279.5,NO,0,YES,NO,NO,NO,YES"	230
"ID12331,59,FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES,YES"	231
"ID12332,31,MALE,INNER_CITY,28969.4,NO,1,NO,NO,YES,YES,NO"	232
"ID12333,31,MALE,SUBURBAN,14058.5,YES,0,NO,NO,YES,YES,YES"	233
"ID12334,32,FEMALE,TOWN,30404.3,YES,0,YES,YES,YES,NO,NO"	234
"ID12335,57,FEMALE,RURAL,41438.2,NO,3,NO,YES,NO,NO,NO"	235
"ID12336,49,FEMALE,INNER_CITY,16711.3,NO,1,NO,YES,YES,YES,YES"	236
"ID12337,65,MALE,TOWN,52255.9,NO,2,YES,YES,YES,NO,YES"	237
"ID12338,22,FEMALE,INNER_CITY,17866.9,YES,2,NO,YES,YES,YES,NO"	238
"ID12339,26,FEMALE,RURAL,18067.5,YES,2,NO,YES,NO,NO,NO"	239
"ID12340,23,MALE,INNER_CITY,12823.7,YES,0,YES,YES,YES,NO,NO"	240
"ID12341,26,FEMALE,RURAL,11299.3,YES,2,YES,NO,NO,NO,NO"	241
"ID12342,59,FEMALE,INNER_CITY,56031.1,NO,0,YES,YES,YES,NO,YES"	242
"ID12343,67,MALE,INNER_CITY,35263.5,YES,1,YES,YES,YES,NO,YES"	243
"ID12344,34,FEMALE,INNER_CITY,19968.1,YES,0,YES,YES,YES,NO,NO"	244
"ID12345,50,MALE,RURAL,27825.5,YES,2,YES,YES,NO,NO,NO"	245
"ID12346,46,MALE,SUBURBAN,37773.9,NO,0,YES,YES,YES,YES,NO"	246
"ID12347,23,FEMALE,INNER_CITY,7606.25,NO,3,YES,NO,NO,NO,NO"	247
"ID12348,26,MALE,RURAL,21384.4,YES,0,NO,NO,YES,NO,NO"	248
"ID12349,40,MALE,TOWN,20347,YES,3,NO,YES,YES,NO,NO"	249
"ID12350,36,MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO,NO"	250
"ID12351,65,MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,YES,NO"	251
"ID12352,45,FEMALE,TOWN,36057.8,YES,1,YES,YES,YES,YES,YES"	252
"ID12353,23,MALE,INNER_CITY,14290.5,YES,2,NO,NO,YES,YES,NO"	253
"ID12354,42,FEMALE,TOWN,17882.9,YES,1,NO,NO,NO,NO,YES"	254
"ID12355,21,FEMALE,RURAL,10629.1,NO,3,NO,YES,YES,YES,NO"	255
"ID12356,62,FEMALE,INNER_CITY,24262.8,NO,0,YES,NO,YES,NO,YES"	256
"ID12357,49,FEMALE,SUBURBAN,26097.9,NO,2,NO,YES,YES,NO,NO"	257
"ID12358,28,FEMALE,TOWN,23371,YES,2,NO,NO,YES,YES,NO"	258
"ID12359,38,FEMALE,TOWN,21495.6,NO,3,NO,NO,YES,YES,NO"	259
"ID12360,36,MALE,TOWN,12166.9,NO,0,NO,NO,NO,NO,NO"	260
"ID12361,22,MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO,NO"	261
"ID12362,40,FEMALE,TOWN,28882.3,YES,1,NO,YES,YES,YES,YES"	262
"ID12363,40,FEMALE,TOWN,21612.2,YES,0,NO,NO,YES,NO,NO"	263
"ID12364,60,FEMALE,INNER_CITY,46358.4,YES,0,YES,YES,YES,YES,NO"	264
"ID12365,23,MALE,INNER_CITY,19166,NO,0,YES,YES,NO,NO,YES"	265
"ID12366,21,MALE,INNER_CITY,17921.8,YES,1,YES,NO,NO,NO,YES"	266
"ID12367,58,MALE,TOWN,33229,NO,0,YES,YES,YES,NO,YES"	267
"ID12368,48,FEMALE,SUBURBAN,30396.1,NO,0,NO,YES,YES,NO,YES"	268
"ID12369,63,FEMALE,TOWN,34625.2,YES,0,YES,NO,YES,NO,NO"	269
"ID12370,20,MALE,TOWN,16672.8,NO,3,YES,NO,YES,YES,NO"	270
"ID12371,67,FEMALE,SUBURBAN,60747.5,NO,2,NO,YES,YES,YES,YES"	271
"ID12372,62,FEMALE,INNER_CITY,56394.3,NO,0,YES,YES,YES,NO,YES"	272
"ID12373,36,MALE,TOWN,13236.4,YES,0,NO,YES,YES,NO,NO"	273
"ID12374,31,MALE,INNER_CITY,28409.4,YES,1,YES,NO,YES,NO,YES"	274
"ID12375,42,FEMALE,INNER_CITY,27056.5,YES,0,YES,YES,YES,NO,NO"	275
"ID12376,18,MALE,RURAL,9362.58,YES,0,YES,NO,YES,YES,YES"	276
"ID12377,46,FEMALE,SUBURBAN,28702.7,NO,1,NO,YES,YES,YES,YES"	277
"ID12378,25,MALE,TOWN,22366.1,YES,1,YES,YES,YES,NO,YES"	278
"ID12379,65,FEMALE,RURAL,24477.5,NO,0,NO,YES,NO,YES,NO"	279
"ID12380,40,MALE,TOWN,36972.4,YES,1,NO,NO,YES,YES,YES"	280
"ID12381,32,MALE,INNER_CITY,22327.8,YES,1,NO,NO,NO,NO,YES"	281
"ID12382,18,FEMALE,INNER_CITY,15610.2,YES,0,NO,YES,YES,NO,NO"	282
"ID12383,64,MALE,INNER_CITY,54314.5,YES,1,YES,YES,NO,NO,YES"	283
"ID12384,43,FEMALE,INNER_CITY,39175.8,YES,3,NO,YES,YES,YES,NO"	284
"ID12385,22,FEMALE,INNER_CITY,13739,YES,3,NO,YES,YES,NO,NO"	285
"ID12386,25,MALE,TOWN,9485.84,YES,0,NO,NO,NO,NO,NO"	286
"ID12387,39,MALE,INNER_CITY,24675.7,YES,1,YES,YES,YES,YES,YES"	287
"ID12388,58,FEMALE,INNER_CITY,28253.6,YES,3,NO,NO,YES,NO,NO"	288
"ID12389,33,MALE,INNER_CITY,14136.5,YES,1,NO,YES,NO,NO,NO"	289
"ID12390,52,FEMALE,RURAL,37162.1,YES,1,YES,YES,YES,NO,YES"	290
"ID12391,23,MALE,INNER_CITY,13519.2,NO,0,NO,YES,YES,NO,YES"	291
"ID12392,44,FEMALE,INNER_CITY,39253.6,NO,0,YES,YES,NO,NO,YES"	292
"ID12393,51,MALE,RURAL,46323.8,YES,2,YES,YES,YES,YES,YES"	293
